UGL,Union Glacier Blue-Ice Runway,AQ
DBU,Dambulu Oya Tank,LK
DBV,Dubrovnik Airport,HR
YNA,Natashquan,CA
YSO,Postville Airport,CA
YQC,Quaqtaq,CA
YPH,Inukjuak,CA
MIX,Miriti,CO
RJN,Rafsanjan,IR
RKD,Knox County Regional Airport,US
RKE,Roskilde Airport,DK
RKS,Rock Springs-Sweetwater County Airport,US
RKT,Ras Al Khaimah International Airport,AE
RLG,Laage Airport,DE
RNP,Rongelap Island,MH
RNS,Rennes Airport,FR
RNT,Renton,US
ROB,Roberts International Airport,LR
ROI,Roi Et Airport,TH
ROK,Rockhampton Airport,AU
RUD,Shahrud,IR
RUL,Maavaarulaa Airport,MV
RUN,Reunion Roland Garros Airport,RE
RUP,Rupsi,IN
RVN,Rovaniemi Airport,FI
RVT,Ravensthorpe,AU
RVY,Rivera,UY
RZE,Rzeszow International Airport,PL
RZH,Preobrazheniye,RU
RZR,Ramsar,IR
DEC,Decatur Airport,US
DED,Dehra Dun Airport,IN
DEE,Mendeleyevo Airport,RU
KPM,Kompiam,PG
YPN,Port Menier,CA
DEH,Municipal,US
DEL,Indira Gandhi International Airport,IN
YPY,Fort Chipewyan Airport,CA
DEN,Denver International Airport,US
DEO,Hyatt Regency Heliport,US
DER,Derim,PG
DET,Detroit City,US
DEZ,Al Jafrah,SY
DFI,Memorial,US
DFW,Dallas/Fort Worth International Airport,US
DGN,NAF,US
DGO,Guadalupe Victoria Airport,MX
DGP,Daugavpils,LV
DGU,Dedougou,BF
DGW,Converse County,US
DHA,King Abdulaziz AB,SA
DHI,Dhangarhi,NP
BLO,Blonduos,IS
DHL,Dhala,YE
MKB,Mekambo,GA
RZS,Sawan,PK
SAA,Shively Field,US
SAG,Shirdi,IN
SAT,San Antonio International Airport,US
SAW,Sabiha Gokcen International Airport,TR
BOY,Borgo,BF
SBA,Santa Barbara Municipal Airport,US
SCF,Scottsdale Airport,US
SCN,Ensheim Airport,DE
SCQ,Santiago De Compostela Airport,ES
SCR,Scandinavian Mountains Airport,SE
SCS,Scatsta,GB
SCT,Socotra,YE
SCU,Antonio Maceo Airport,CU
SCV,Suceava Airport,RO
YXT,Northwest Regional Airport,CA
DHM,Gaggal Airport,IN
SDL,Sundsvall-Timra Airport,SE
DHN,Dothan Regional Airport,US
SDQ,Las Americas International Airport,DO
RTE,Marguerite Bay,US
YTB,Hartley Bay,CA
DHT,Dalhart,US
DIB,Dibrugarh Airport,IN
DIE,Antsiranana/Arrachart,MG
YWY,Wrigley,CA
YXJ,North Peace Regional Airport,CA
DIG,Diqing Shangri-La Airport,CN
DIJ,Dijon,FR
DIK,Dickinson Regional Airport,US
DIL,Comoro Airport,TL
DIM,Dimbokro,CI
DIN,Dien Bien Airport,VN
DIQ,Divinopolis,BR
DIS,Loubomo,CG
DIU,Diu Airport,IN
DIV,Divo,CI
DIY,Diyarbakir Airport,TR
DJB,Sultan Thaha Airport,ID
DKK,Dunkirk,US
DKS,Dikson,RU
DMB,Jambyl Airport,KZ
DME,Moscow Domodedovo Airport,RU
DMK,Don Mueang International Airport,TH
ZFD,Fond-du-Lac Airport,CA
ZEL,Bella Bella Airport,CA
BMK,Borkum,DE
SDR,Santander Airport,ES
BMM,Bitam,GA
ZGS,Gethsemani,CA
SDU,Santos Dumont Airport,BR
BOZ,Bozoum,CF
SEA,Seattle-Tacoma International Airport,US
YZX,Greenwood,CA
SEK,Srednekolymsk Airport,RU
SEN,London Southend Airport,GB
SEV,Severodoneck,UA
SIU,Siuna,NI
SJY,Ilmajoki,FI
PUO,Prudhoe Bay,US
SKB,Robert L. Bradshaw International Airport,KN
SKD,Samarkand Airport,UZ
SKE,Skien,NO
RED,Mifflin County,US
JQA,Qaarsut Airport,GL
DJJ,Sentani Airport,ID
DJO,Daloa,CI
ZAC,York Landing,CA
DKR,Leopold Sedar Senghor International Airport,SN
SON,Santo Pekoa International Airport,VU
DLB,Dalbertis,PG
RMI,Miramare Airport,IT
RMQ,Taichung International Airport,TW
RNE,Renaison,FR
DLE,Dole-Jura Airport,FR
DLF,Laughlin AFB,US
DLH,Duluth International Airport,US
RNG,Rangely,US
RNN,Bornholm Airport,DK
RNO,Reno/Tahoe International Airport,US
DLI,Lien Khuong Airport,VN
SCE,University Park Airport,US
DLL,Dillon,US
DLM,Dalaman Airport,TR
DLN,Dillon,US
DLR,Dalnerechensk Airport,RU
DLS,Columbia Gorge Regional/The Dalles Municipal Airport,US
DLU,Dali Airport,CN
DLV,Delissaville,AU
DLZ,Dalanzadgad,MN
DMA,Davis Monthan AFB,US
MPF,Mapoda,PG
MMP,Mompos,CO
RFN,Raufarhofn,IS
RIR,Riverside Fla-Bob,US
SEZ,Seychelles International Airport,SC
PTV,Porterville,US
PTW,Pottstown/Limerick,US
PUN,Punia,CD
PUF,The Pau-Pyrenees International Airport,FR
PUG,Port Augusta,AU
PUH,Pochutla,MX
PTP,Pointe-a-Pitre International Airport,GP
PTQ,Porto de Moz,BR
PTS,Atkinson Municipal Airport,US
PTY,Tocumen International Airport,PA
PUB,Pueblo Memorial Airport,US
PUT,Puttaprathe,IN
PUC,Carbon County,US
PUE,Puerto Obaldia,PA
ADI,Arandis,NA
ADY,Alldays,ZA
AGW,Agnew,AU
PUJ,Punta Cana International Airport,DO
PUL,Poulsbo,US
PUM,Pomala,ID
PUS,Gimhae International Airport,KR
ZSJ,Sandy Lake,CA
DMN,Deming,US
DMU,Dimapur Airport,IN
DNA,Kadena AB,JP
DNE,Dallas North Airport,US
DNF,Martuba,LY
DNK,Dnepropetrovsk International Airport,UA
DNL,Daniel Field,US
PXA,Atung Bungsu Airport,ID
ALK,Asela,ET
BCO,Jinka,ET
BEI,Beica,ET
BJR,Bahar Dar Airport,ET
BOK,Brookings State,US
DNO,Dianopolis,BR
DNQ,Deniliquin,AU
DNR,Pleurtuit Airport,FR
MRH,May River,PG
DNS,Municipal,US
DNT,Downtown Heliport,US
YRR,Stuart Island,CA
RRI,Barora,SB
SMI,Samos Airport,GR
PXL,Polacca,US
PXM,Puerto Escondido Airport,MX
PXS,Puerto De Santa Maria,ES
PYA,Puerto Boyaca,CO
PYB,Jeypore,IN
DEM,Dembidollo,ET
PYC,Playon Chico,PA
DGC,Degahbur,ET
DGM,Dongguan,LK
ABK,Kabri Dar,ET
PYG,Gangtok-Pakyong Airport,IN
AWA,Awassa,ET
DIR,Aba Tenna D Yilma Airport,ET
PYR,Andravida,GR
PYS,Skypark,US
BQO,Bouna,CI
CAX,Carlisle,GB
CRF,Carnot,CF
DBT,Debra Tabor,ET
PYV,Yaviza,PA
PZH,Zhob,PK
PZL,Zulu Inyala,ZA
PZE,Penzance,GB
QGV,Neu Isenburg,DE
PZK,Puka Puka Island,CK
DJA,Djougou,BJ
DJE,Melita Airport,TN
DNV,Vermilion County,US
DNZ,Cardak Airport,TR
DOC,Dornoch,GB
DOH,Hamad International Airport,QA
DOL,Saint Gatien Airport,FR
PZU,Port Sudan Airport,SD
QAQ,L'Aquila–Preturo Airport,IT
DOR,Dori,BF
DOS,Dios,PG
DOU,Dourados Airport,BR
DOV,Dover AFB,US
DOY,Dongying Airport,CN
DPA,DuPage Airport,US
DPE,Dieppe,FR
DPG,Michael AAF,US
DPK,Deer Park,US
DRY,Drysdale River,AU
MSG,Matsaile,LS
MTF,Mizan Teferi,ET
NEK,Nekemt,ET
YGT,Igloolik Airport,CA
ASO,Asosa Airport,ET
QCY,Coningsby RAF Station,GB
BRP,Biaru,PG
QFK,Harbour,NO
QFQ,Harbour,NO
QGQ,Heliport,GL
WMK,SPB,US
DND,Dundee Airport,GB
DNU,Dinangat,PG
DON,Dos Lagunas,GT
DPL,Dipolog Airport,PH
DPS,Ngurah Rai International Airport,ID
DPT,Deputatsky,RU
DPU,Dumpu,PG
DQA,Daqing Shi Airport,CN
DRI,Beauregard Parish,US
DRO,Durango-La Plata County Airport,US
DRT,Del Rio International Airport,US
DRU,Drummond,US
DRV,Dharavandhoo AIrport,MV
DRW,Darwin International Airport,AU
DSA,Doncaster Sheffield Airport,GB
DSD,La Desirade,GP
DSE,Combolcha,ET
DSG,Dilasag,PH
DSI,Destin-Fort Walton Beach Airport,US
DSK,Dera Ismail Khan,PK
DSM,Des Moines International Airport,US
DSN,Ordos Ejin Horo Airport,CN
DSO,Sondok,KP
DSS,Blaise Diagne International Airport,SN
PYK,Payam,IR
PYY,Pai Airport,TH
PZB,Pietermaritzburg Airport,ZA
PZI,Pan Zhi Hua Bao An Ying,CN
PZO,Manuel Carlos Piar Guayana Airport,VE
PZY,Piestany,SK
DSV,Dansville,US
ALU,Alula,SO
DSX,Dongsha Island,TW
RAV,Cravo Norte,CO
BBO,Berbera,SO
BIB,Baidoa,SO
BJM,Bujumbura International Airport,BI
BLW,Bellows Field,US
BSA,Bossaso,SO
BSW,Boswell Bay,US
DTA,Delta,US
BSY,Bardera,SO
DTE,Naga,PH
DTI,Diamantina,BR
RAZ,Rawala Kot,PK
LGX,Lugh Ganane,SO
DTB,Sisingamangaraja XII International Airport,ID
DTL,Municipal,US
DTM,Dortmund Airport,DE
DTU,Wudalianchi Dedu Airport,CN
DUR,King Shaka International Airport,ZA
DVK,Diavik,CA
BUO,Burao,SO
DVL,Devils Lake Airport,US
CMO,Obbia,SO
DVN,Davenport,US
DVO,Francisco Bangoy Intl Airport,PH
CMS,Scusciuban,SO
CSO,Cochstedt,DE
CTW,Cottonwood,US
CUJ,Culion,PH
CXN,Candala,SO
ENS,Twente,NL
RBA,Sale Airport,MA
ZQF,Fohren,DE
RBE,Ratanakiri,KH
RAE,Arar Airport,SA
RBG,Roseburg Municipal Airport,US
RAI,Nelson Mandela International Airport,CV
RBL,Red Bluff Fss,US
RAK,Menara Airport,MA
RBN,Fort Jefferson,US
RAP,Rapid City Regional Airport,US
RAR,Rarotonga Airport,CK
RAS,Rasht Airport,IR
RBM,Wallmuhle,DE
RDG,Municipalcipal/Spaatz Field,US
YMU,Mansons Landing SPB,CA
AAC,El Arish International Airport,EG
CNP,Neerlerit Inaat Airport,GL
RCR,Fulton County,US
DBB,Alalamain International,EG
RDO,Radom Airport,PL
RDE,Merdey,ID
RDR,Grand Forks AFB,US
RBX,Rumbek,SS
RDZ,Marcillac Airport,FR
KEW,Keewaywin,CA
DTW,Detroit Metropolitan Wayne County Airport,US
DUA,Eaker,US
DUB,Dublin Airport,IE
DUC,Halliburton Field,US
DUD,Dunedin International Airport,NZ
DUG,Bisbee-Douglas International,US
DUJ,Du Bois-Jefferson County,US
DUK,Dukuduk,ZA
REB,Rechlin,DE
RCB,Richards Bay Airport,ZA
RCH,Riohacha Airport,CO
RCO,Saint Agnant,FR
RCS,Rochester,GB
RDD,Redding Municipal Airport,US
RDM,Roberts Field Redmond Municipal Airport,US
RDP,Kazi Nazrul Islam Airport,IN
RDS,Rincon de los Sauces,AR
DUM,Pinang Kampai,ID
DUQ,Duncan/Quam,CA
DVP,Davenport Downs,AU
DVR,Daly River,AU
DVT,Phoenix Deer Valley Airport,US
DWA,Dwangwa,MW
DWB,Soalala,MG
DWD,Dawadmi Airport,SA
DWS,Walt Disney World,US
MWI,Maramuni,PG
RDT,Richard Toll,SN
RDU,Raleigh-Durham International Airport,US
UPR,Upiara,PG
REC,Guararapes-Gilberto Freyre International Airport,BR
RFD,Chicago Rockford International Airport,US
RFA,Rafai,CF
RFR,Rio Frio,CR
RFK,Rollang Field,US
RGA,Rio Grande Airport,AR
KDJ,Ndjole-Ville,GA
RGH,Balurghat,IN
RHD,Rio Hondo Airport,AR
RHG,Ruhengeri,RW
RGR,Ranger Municipalcipal,US
RGT,Japura,ID
ABS,Abu Simbel,EG
ALY,El Nohza,EG
ATZ,Assiut Airport,EG
RHA,Reykholar,IS
BUX,Bunia,CD
CAI,Cairo International Airport,EG
CCE,Grand Case,MF
CSE,Crested Butte,US
CUX,Cuddihy Field,US
RHE,Reims,FR
RHN,Rosh Pina,NA
DWR,Dwyer Air Base,AF
DAK,Dakhla,EG
DXD,Dixie,AU
DXE,Bruce Campbell Field,US
DXR,Danbury Municipal Airport,US
DYA,Dysart,AU
DYL,Doylestown,US
DYR,Anadyr Airport,RU
DYS,Dyess AFB,US
DYU,Dushanbe Airport,TJ
DYW,Daly Waters,AU
DZA,Dzaoudzi Airport,YT
DZI,Codazzi,CO
DZN,Zhezhazgan Airport,KZ
EAB,Abbse,YE
EAM,Nejran,SA
EAN,Phifer Field,US
EAR,Kearney Regional Airport,US
EAS,San Sebastian Airport,ES
EAT,Pangborn Field,US
EAU,Eau Claire Airport,US
EBA,Marina Di Campo Airport,IT
EBG,El Bagre,CO
DZO,Santa Bernardina,UY
KUE,Kukundu,SB
YOH,Oxford House,CA
DZU,Dazu,CN
NAZ,Nana,SB
MZN,Minj,PG
PNP,Girua Airport,PG
RHT,Alxa Right Banner,CN
RIA,Santa Maria Airport,BR
RIB,Gen Buech Airport,BO
RIZ,Rio Alzucar,PA
RJA,Rajahmundry Airport,IN
RJH,Rajshahi Airport,BD
ASW,Aswan Airport,EG
RKR,Robert S Kerr,US
RKC,Yreka,US
BJE,Baleela,SD
BVP,Bolovip,PG
BWJ,Bawan,PG
CHP,Circle Hot Springs,US
RKH,Rock Hill,US
RKI,Rokot,ID
RKO,Sipora,ID
RKP,Aransas County,US
EBH,El Bayadh,DZ
EBJ,Esbjerg Airport,DK
RKU,Kairuku,PG
EBL,Erbil International Airport,IQ
RKV,Reykjavik International Airport,IS
RKW,Rockwood Municipal Airport,US
EBM,El Borma,TN
RKZ,Peace,CN
RLI,Reilly AHP,US
RLO,Valle Del Conlara,AR
ROZ,US Naval Station,ES
RPA,Rolpa,NP
RQW,West,IQ
RRA,Ronda,ES
EBR,Downtown,US
EBS,Municipal,US
EBU,Boutheon Airport,FR
ECA,Emmet County Airport,US
ECG,Elizabeth City,US
ECH,Echuca,AU
ECI,Costa Esmeralda Airport,NI
ECN,Ercan Airport,CY
ECP,NW Florida Beaches Int,US
ECS,Mondell,US
NRL,North Ronaldsay Airport,GB
EDD,Erldunda,AU
KWS,Kwailabesi Aerodrom,SB
SGB,Singaua,PG
RRG,Rodrigues Island Airport,MU
RRN,Serra Norte,BR
RRO,Sorrento,IT
RSE,Rose Bay,AU
RSG,Serra Pelada,BR
RSI,Rio Sidra,PA
ROP,Rota Airport,MP
ASA,Assab International,ER
RSL,Russell,US
RSS,Roseires,SD
ROR,Airai Airport,PW
ROU,Rousse,BG
ROV,Platov International Airport,RU
EDE,Municipal,US
ROW,Roswell International Air Center,US
TCP,Taba International,EG
EDG,Weide AAF,US
ASM,Asmara International Airport,ER
ASV,Amboseli,KE
BXZ,Bunsil,PG
DBM,Debra Marcos,ET
RRJ,Jacarepaguá Airport,BR
RPN,Rosh Pina,IL
RPR,Swami Vivekananda Airport,IN
RQA,Ruoqiang Loulan Airport,CN
RRK,Rourkela,IN
RSD,South Eleuthera Airport,BS
RSK,Ransiki,ID
RUH,King Khaled International Airport,SA
RTG,Ruteng,ID
RTW,Saratov Tsentralny Airport,RU
KLK,Kalokol,KE
RUM,Rumjatar,NP
RUS,Marau Sound,SB
EDI,Edinburgh Airport,GB
EDK,El Dorado,US
EDL,Eldoret Airport,KE
EDM,Les Ajoncs,FR
EDO,Balikesir Koca Seyit Airport,TR
EDW,Edwards AFB,US
EED,Needles,US
EEN,Dillant-Hopkins,US
LOK,Lodwar Airport,KE
OTV,Ontong Java,SB
UVO,Uvol,PG
BYT,Bantry,IE
RUT,Rutland Airport,US
KGM,Kungum,PG
RUV,Rubelsanto,GT
RUY,Copan,HN
RVD,Rio Verde Airport,BR
RVE,Los Colonizadores,CO
RVI,Rostov Airport,RU
YDT,Boundary Bay Airport,CA
RVK,Ryumsjoen Airport,NO
EOI,Eday Airport,GB
RVO,Reivilo,ZA
RVR,Green River,US
RVS,R.Lloyd Jones,US
EFD,Ellington Field,US
EFG,Efogi,PG
EFL,Kefallinia Airport,GR
SAB,J. Yrausquin Airport,BQ
EFW,Municipal,US
SAC,Sacramento Executive Airport,US
EGC,Roumanieres Airport,FR
SAD,Safford,US
SAE,Sangir,ID
SAF,Santa Fe,US
SAR,Sparta Community,US
SAS,Salton City,US
SAV,Savannah/Hilton Head Airport,US
SAZ,Sasstown,LR
SAU,Sawu,ID
KEU,Kelly Bar,US
SAX,Sambu,PA
SAY,Siena,IT
WPC,Pincher Creek,CA
EGE,Eagle County Airport,US
EGI,Duke Field,US
EGO,Belgorod Airport,RU
EGP,Maverick Co,US
EGV,Eagle River,US
EHL,El Bolson,AR
EIB,Eisenach,DE
EIE,Eniseysk,RU
EIH,Einasleigh,AU
EIK,Yeysk,RU
EIN,Eindhoven Airport,NL
EJA,Variguies Airport,CO
EJH,Wedjh Airport,SA
MAG,Madang Airport,PG
PHR,Pacific Harbor,FJ
SBB,Santa Barbara Ba,VE
SCZ,Santa Cruz Island,SB
DUF,Pine Island Airport,US
SBK,Saint Brieuc-Armor,FR
SCI,San Cristobal,VE
SCK,Stockton Airport,US
SBQ,Sibi,PK
SBX,Shelby,US
SCW,Syktyvkar Airport,RU
SCO,Aktau International Airport,KZ
SCP,St Crepin,FR
SCX,Salina Cruz,MX
SCY,San Cristobal Airport,EC
SDV,Dov Hoz Airport,IL
SDY,Richland Municipal Airport,US
SED,Min'hat Hashnayim,IL
EJN,Ejin Banner Taolai Airport,CN
SEE,Gillespie Field,US
SEF,Sebring Regional Airport,US
SEI,Senhor Do Bonfim,BR
EKA,Murray Field,US
EKB,Ekibastuz,KZ
EKD,Elkedra,AU
EKI,Municipal,US
EKN,Elkins,US
EKO,Elko Airport,US
EKS,Shakhtyorsk Airport,RU
SEG,Penn Valley,US
EKX,Elizabethtown,US
ELA,Eagle Lake,US
SEM,Craig AFB,US
ELB,San Bernado,CO
ELC,Elcho Island Airport,AU
ELD,South Arkansas Regional Airport,US
ELG,El Golea Airport,DZ
ELJ,El Recreo,CO
ELK,Municipal,US
ELL,Ellisras,ZA
ELN,Bowers Field,US
ELO,Eldorado,AR
ELP,El Paso International Airport,US
ELQ,Prince Nayef bin Abdulaziz Regional Airport,SA
ELS,East London Airport,ZA
CNT,Charata,AR
SEP,Clark Field,US
SEQ,Sungai Pakning,ID
SER,Freeman Municipalcipal,US
SES,Selfield,US
LMX,Lopez De Micay,CO
SET,San Esteban,HN
SEU,Seronera Airstrip,TZ
SEO,Seguela,CI
SEW,Siwa,EG
SEY,Selibaby,MR
SFA,Sfax El Maou Airport,TN
SFC,St Francois,GP
SFZ,North Central,US
SGA,Sheghnan,AF
SGD,Sonderborg Airport,DK
SGE,Siegerland Airport,DE
SGV,Sierra Grande,AR
SGH,Springfield,US
SGI,Sargodha Airport,PK
SGL,Sangley Point NAS,PH
EGA,Engati,PG
ELT,Tour Sinai City,EG
ELU,Guemar Airport,DZ
ELX,El Tigre,VE
ELY,Yelland,US
ELZ,Municipal,US
EMA,East Midlands Airport,GB
EMD,Emerald Airport,AU
EME,Emden,DE
EML,Emmen,CH
EMM,Kemerer,US
EMP,Emporia,US
EMT,El Monte,US
EMX,El Maiten,AR
EMY,El Minya,EG
ENA,Kenai Municipal Airport,US
ENB,Eneabba West,AU
ENC,Essey,FR
ENE,H. Hasan Aroeboesman Airport,ID
ENF,Enontekio,FI
ENH,Enshi Airport,CN
ENI,El Nido,PH
ENL,Municipal,US
ENO,Teniente Prim Alarcon,PY
ENQ,Coronel E Soto Cano AB,HN
ENU,Enugu Airport,NG
ENV,Wendover,US
ENY,Ershilipu Airport,CN
ELW,Ellamar,US
PMN,Pumani,PG
SGM,San Ignacio,MX
EMS,Embessa,PG
SIM,Simbai,PG
SGR,Sugar Land Regional,US
SGS,Sanga Sanga,PH
SGT,Stuttgart Municipalcipal,US
SGU,Saint George Municipal Airport,US
SHS,Shashi,CN
SHT,Shepparton,AU
SHZ,Seshutes,LS
SIB,Sibiti,CG
SIC,Sinop Airport,PA
SIE,Sines,PT
YGL,La Grande Airport,CA
KNE,Kanainj,PG
ENW,Kenosha Regional Airport,US
EOH,Enrique Olaya Herrera Airport,CO
EOK,Keokuk,US
EOZ,Elorza,VE
EPA,El Palomar,AR
YHO,Hopedale,CA
EPG,Browns,US
EPH,Ephrata,US
EPL,Mirecourt,FR
EPR,Esperance Airport,AU
EPS,Arroyo Barril International,DO
EPU,Parnu,EE
EQS,Esquel Airport,AR
ERA,Erigavo,SO
ERB,Ernabella,AU
ERC,Erzincan Airport,TR
ERD,Berdyansk,UA
ERF,Erfurt Airport,DE
ERG,Erbogachen Airport,RU
ERM,Comandante Kraemer,BR
ERN,Eirunepe,BR
ERQ,Elrose Mine,AU
ERR,Errol,US
ERS,Eros Airport,NA
ERT,Erdenet,MN
FEZ,Fes-Saiss Airport,MA
FIG,Fria,GN
FIH,N'djili Airport,CD
FPR,St Lucie County,US
FPY,Perry-Foley,US
GUR,Gurney Airport,PG
LPN,Leron Plains,PG
PEP,Peppimenarti,AU
SIG,Isla Grande,PR
SIH,Silgadi Doti,NP
SIK,Memorial,US
KCQ,Chignik,US
CKD,Crooked Creek,US
ERV,Kerrville,US
SIN,Changi International Airport,SG
SHA,Shanghai Hongqiao International Airport,CN
SIQ,Dabo,ID
SIR,Sion,CH
SIS,Sishen Airport,ZA
SHB,Nakashibetsu Airport,JP
WAJ,Wawoi Falls,PG
SIV,County,US
SIW,Sibisa,ID
SIY,Siskiyou County,US
SHF,Shihezi Huayuan Airport,CN
SHG,Shungnak Airport,US
SHM,Shirahama Airport,JP
ERZ,Erzurum Airport,TR
SHN,Sanderson Field,US
ESB,Esenboga International Airport,TR
SHV,Shreveport Regional Airport,US
ESC,Delta County Airport,US
ESE,Ensenada,MX
SHW,Sharurah Airport,SA
ESF,Esler Field,US
SID,Amilcar Cabral International Airport,CV
ESI,Espinosa,BR
ESK,Eskisehir,TR
ESL,Elista Airport,RU
ESM,Esmeraldas Airport,EC
ESN,Easton,US
ESO,Espanola,US
TEH,Tetlin,US
ESP,Birchwood-Pocono,US
ESR,El Salvador,CL
ESS,Essen,DE
EST,Municipal,US
ESU,Essaouira Airport,MA
EUF,Weedon Field,US
EUG,Eugene Airport,US
FRA,Frankfurt Airport,DE
FRB,Forbes,AU
FRC,Franca,BR
FRE,Fera Island Airport,SB
PGI,Chitato,AO
CAV,Cazombo,AO
THO,Thorshofn,IS
SIF,Simara,NP
SJH,San Juan Del Cesar,CO
THU,Pituffik Airport,GL
SJV,San Javier,BO
SJN,St. Johns Industrial Air Park,US
SJZ,Sao Jorge Island Airport,PT
SKA,Fairchild AFB,US
SJQ,Sesheke,ZM
SKC,Suki,PG
SKH,Surkhet,NP
SKI,Skikda,DZ
SKL,Broadford,GB
SKO,Sokoto,NG
SKP,Skopje Alexander the Great Airport,MK
SKQ,Sekakes,LS
ESW,State,US
ETB,West Bend,US
ETD,Etadunna,AU
ETE,Genda Wuha,ET
ETL,Svetlaya Airport,RU
ETN,Municipal,US
ETR,Coronel Artilleria Victor Larrea Airport,EC
ETS,Municipal,US
ETZ,Metz-Nancy-Lorraine Airport,FR
SKR,Shakiso,ET
SKT,Sialkot Airport,PK
SKU,Skiros Airport,GR
SKV,Mount Sinai,EG
SKX,Saransk Airport,RU
SLV,Simla,IN
TKD,Takoradi Airport,GH
EUC,Eucla,AU
EUM,Neumuenster,DE
EUN,Hassan I Airport,MA
EUO,Paratebueno,CO
EUQ,Evelio Javier,PH
EUX,F D Roosevelt Airport,NL
EVA,Landing Strip,US
EVD,Eva Downs,AU
EVE,Harstad/Narvik Airport Evenes,NO
EVG,Sveg Airport,SE
EZV,Berezovo,RU
FRG,Republic Field,US
FRH,Municipal,US
FRI,Marshall AAF,US
FRL,Luigi Ridolfi,IT
DYM,Diamantina Lakes,AU
SLW,Plan de Guadalupe International Airport,MX
SMO,Santa Monica,US
SMA,Vila Do Porto Airport,PT
SMB,Cerro Sombrero,CL
SMD,Smith Field,US
SME,Pulaski County,US
SMG,Santa Maria,PE
TKB,Tekadu,PG
BIZ,Bimin,PG
SML,Estate Airstrip,BS
SMM,Semporna,MY
SMN,Salmon,US
SMQ,H. Asan Airport,ID
SMR,Simon Bolivar International Airport,CO
SMT,Sun Moon Lake,TW
SNO,Sakon Nakhon Airport,TH
EVH,Evans Head,AU
EVM,Eveleth,US
EVN,Zvartnots International Airport,AM
EVV,Evansville Regional Airport,US
EVW,Evanston,US
TKI,Tokeen,US
EVX,Evreux,FR
EWB,New Bedford Airport,US
EWI,Enarotali,ID
EWK,City-County,US
EWN,Coastal Carolina Regional Airport,US
EXM,Exmouth Gulf,AU
EYK,Beloyarsky Airport,RU
FCS,Butts AAF,US
FRN,Bryant AAF,US
FRO,Flora Airport,NO
FSP,Saint Pierre Airport,PM
FSS,Kinloss,GB
FST,Pecos County,US
FSU,Fort Sumner,US
FWM,Heliport,GB
FXE,Fort Lauderdale Executive Airport,US
FXY,Municipal,US
FYM,Municipal,US
FZO,Filton,GB
GAK,Gakona,US
GAQ,Gao,ML
GAT,Tallard,FR
GAU,Lokpriya Gopinath Bordoloi International Airport,IN
GBM,Garbaharey,SO
GBT,Gorgon Airport,IR
EBO,Ebon Airport,MH
SNW,Thandwe Airport,MM
EYR,Yerington,US
ACC,Kotoka International Airport,GH
SNQ,San Quintin,MX
CBP,Coimbra,PT
SNR,Montoir Airport,FR
SNT,Sabana De Torres,CO
SNU,Santa Clara Airport,CU
SMZ,Stoelmans Eiland,SR
SNX,Sabana De Mar,DO
SNY,Sidney,US
SNZ,Santa Cruz,BR
SOA,Soc Trang,VN
SOB,Sármellék/Balaton,HU
SOC,Adi Sumarmo International Airport,ID
SNB,Snake Bay,AU
SNH,Stanthorpe,AU
EYS,Eliye Springs,KE
EZS,Elazig Airport,TR
YRL,Red Lake Airport,CA
FAA,Faranah,GN
YSY,Sachs Harbour,CA
FAB,Farnborough,GB
SNL,Shawnee Municipal,US
SNS,Salinas,US
FAE,Vagar Airport,FO
SOK,Semongkong,LS
FAH,Farah,AF
SOM,Edmundo Barrios,VE
FAJ,Diego Jimenez Torres,PR
SOD,Sorocaba,BR
SPN,Saipan International Airport,MP
SPR,San Pedro,BZ
SPS,Sheppard AFB,US
FAL,Falcon State,US
FAM,Regional,US
FAR,Hector International Airport,US
FAT,Fresno Yosemite International Airport,US
FAY,Fayetteville Regional Airport,US
FAZ,Fasa,IR
FBD,Faizabad Airport,AF
FBE,Francisco Beltrao,BR
FBG,Simmons AAF,US
FBL,Municipal,US
FBM,Lubumbashi International Airport,CD
FHU,Municipal,US
NAQ,Qaanaaq Airport,GL
CKR,Crane Island,US
SMC,Santa Maria,CO
SPU,Split Airport,HR
SPW,Spencer Municipal,US
SQD,Shangrao Sanqingshan Airport,CN
SQI,Whiteside County,US
SQJ,Sanming Shaxian Airport,CN
STN,Stansted Airport,GB
SVM,St Pauls,AU
YWR,White River,CA
SPJ,Eleftherios Venizelos,GR
SPM,Spangdahlem,DE
SPO,San Pablo,ES
SPQ,Catalina SPB,US
YFA,Fort Albany,CA
SPD,Saidpur Airport,BD
SPP,Menongue,AO
SPT,Sipitang,MY
SPZ,Springdale Municipal,US
SPX,Houston Gulf Airport,US
SPY,San Pedro,CI
FBR,Fort Bridger,US
FBY,Municipal,US
FCA,Glacier Park International Airport,US
SQA,Santa Ynez,US
SQB,Santa Ana,CO
FCB,Ficksburg Sentra Oes,ZA
FCH,Fresno-Chandler,US
FCN,Cuxhaven/Nordholz,DE
FCO,Leonardo da Vinci-Fiumicino Airport,IT
FCY,Municipal,US
FDE,Bringeland Airport,NO
FDF,Martinique Aime Cesaire International Airport,MQ
FDH,Friedrichshafen Airport,DE
FDK,Frederick Municipal,US
FDR,Municipal,US
FDY,Findlay,US
FEA,Fetlar,GB
FEB,Sanfebagar,NP
FLM,Filadelfia,PY
